calories,cook_time_minutes,created_at,cuisine,description,difficulty,id,ingredients,prep_time_minutes,region,servings,steps,tags,title
273.0,16,2025-11-24T08:07:44.866355,North Indian,Aloo Gobi prepared in a simple home-style method.,medium,aloo_gobi_009,"[{'name': 'potato', 'quantity': '1 cup'}, {'name': 'beans', 'quantity': '2 tbsp'}, {'name': 'ginger', 'quantity': '½ cup'}, {'name': 'coriander powder', 'quantity': '2 tsp'}, {'name': 'capsicum', 'quantity': '2 tbsp'}, {'name': 'peas', 'quantity': '1 tbsp'}, {'name': 'oil', 'quantity': '2 tbsp'}, {'name': 'butter', 'quantity': '½ cup'}]",23,West India,2,"[{'order': 1, 'text': 'Wash all ingredients for Aloo Gobi.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add potato and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}]",['vegetarian'],Aloo Gobi
401.0,40,2025-11-24T08:07:45.719439,North Indian,Bhindi Masala prepared in a simple home-style method.,easy,bhindi_masala_020,"[{'name': 'okra', 'quantity': '200g'}, {'name': 'tomato', 'quantity': '2 tsp'}, {'name': 'coriander powder', 'quantity': '½ cup'}, {'name': 'beans', 'quantity': '2 tsp'}, {'name': 'garlic', 'quantity': '1 tsp'}, {'name': 'butter', 'quantity': '1 tsp'}, {'name': 'turmeric', 'quantity': '1 tsp'}, {'name': 'garam masala', 'quantity': '1 tbsp'}]",13,West India,3,"[{'order': 1, 'text': 'Wash all ingredients for Bhindi Masala.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add okra and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}, {'order': 8, 'text': 'Serve hot with roti or rice.'}]",['vegetarian'],Bhindi Masala
502.0,27,2025-11-24T08:07:44.935962,North Indian,Chole Masala prepared in a simple home-style method.,medium,chole_masala_010,"[{'name': 'chickpeas', 'quantity': '2 cups'}, {'name': 'capsicum', 'quantity': '2 tbsp'}, {'name': 'garlic', 'quantity': '1 tbsp'}, {'name': 'tomato', 'quantity': '2 tbsp'}, {'name': 'oil', 'quantity': '1 tsp'}, {'name': 'beans', 'quantity': '2 tbsp'}, {'name': 'garam masala', 'quantity': '1 tsp'}, {'name': 'ginger', 'quantity': '½ cup'}, {'name': 'butter', 'quantity': '2 tsp'}]",15,West India,4,"[{'order': 1, 'text': 'Wash all ingredients for Chole Masala.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add chickpeas and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}]",['vegetarian'],Chole Masala
550.0,26,2025-11-24T08:07:45.189981,South Indian,Dal Makhani prepared in a simple home-style method.,easy,dal_makhani_013,"[{'name': 'lentils', 'quantity': '150g'}, {'name': 'garlic', 'quantity': '1 tbsp'}, {'name': 'peas', 'quantity': '1 tbsp'}, {'name': 'onion', 'quantity': '2 tbsp'}, {'name': 'red chilli powder', 'quantity': '1 tbsp'}, {'name': 'turmeric', 'quantity': '½ cup'}, {'name': 'beans', 'quantity': '1 tsp'}, {'name': 'garam masala', 'quantity': '1 tbsp'}, {'name': 'carrot', 'quantity': '2 tsp'}]",22,West India,4,"[{'order': 1, 'text': 'Wash all ingredients for Dal Makhani.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add lentils and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}]",['vegetarian'],Dal Makhani
534.0,21,2025-11-24T08:07:45.122326,Indo-Chinese,Dal Tadka prepared in a simple home-style method.,medium,dal_tadka_012,"[{'name': 'lentils', 'quantity': '1 cup'}, {'name': 'garam masala', 'quantity': '1 tsp'}, {'name': 'coriander powder', 'quantity': '½ cup'}, {'name': 'garlic', 'quantity': '1 tsp'}, {'name': 'red chilli powder', 'quantity': '2 tsp'}, {'name': 'ginger', 'quantity': '2 tsp'}, {'name': 'tomato', 'quantity': '2 tsp'}]",24,North India,4,"[{'order': 1, 'text': 'Wash all ingredients for Dal Tadka.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add lentils and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}]",['vegetarian'],Dal Tadka
312.0,36,2025-11-24T08:07:44.768818,South Indian,Jeera Rice prepared in a simple home-style method.,medium,jeera_rice_008,"[{'name': 'mixed vegetables', 'quantity': '1 cup'}, {'name': 'beans', 'quantity': '½ cup'}, {'name': 'onion', 'quantity': '1 tbsp'}, {'name': 'peas', 'quantity': '½ cup'}, {'name': 'carrot', 'quantity': '½ cup'}, {'name': 'oil', 'quantity': '1 tsp'}, {'name': 'capsicum', 'quantity': '1 tbsp'}, {'name': 'ginger', 'quantity': '1 tbsp'}, {'name': 'coriander powder', 'quantity': '1 tsp'}]",18,South India,4,"[{'order': 1, 'text': 'Wash all ingredients for Jeera Rice.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add mixed vegetables and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}, {'order': 8, 'text': 'Serve hot with roti or rice.'}]",['vegetarian'],Jeera Rice
501.0,23,2025-11-24T08:07:44.205973,North Indian,Kadai Paneer prepared in a simple home-style method.,easy,kadai_paneer_003,"[{'name': 'mixed vegetables', 'quantity': '1 cup'}, {'name': 'onion', 'quantity': '½ cup'}, {'name': 'butter', 'quantity': '2 tbsp'}, {'name': 'oil', 'quantity': '½ cup'}, {'name': 'turmeric', 'quantity': '2 tbsp'}, {'name': 'garlic', 'quantity': '1 tbsp'}, {'name': 'ginger', 'quantity': '1 tsp'}, {'name': 'peas', 'quantity': '2 tsp'}, {'name': 'beans', 'quantity': '½ cup'}]",19,South India,4,"[{'order': 1, 'text': 'Wash all ingredients for Kadai Paneer.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add mixed vegetables and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}, {'order': 8, 'text': 'Serve hot with roti or rice.'}]",['vegetarian'],Kadai Paneer
475.0,30,2025-11-24T08:07:45.296239,Indo-Chinese,Masala Dosa prepared in a simple home-style method.,medium,masala_dosa_014,"[{'name': 'mixed vegetables', 'quantity': '2 cups'}, {'name': 'coriander powder', 'quantity': '2 tsp'}, {'name': 'beans', 'quantity': '2 tbsp'}, {'name': 'ginger', 'quantity': '½ cup'}, {'name': 'turmeric', 'quantity': '1 tsp'}, {'name': 'carrot', 'quantity': '½ cup'}, {'name': 'oil', 'quantity': '1 tsp'}, {'name': 'red chilli powder', 'quantity': '2 tbsp'}]",23,South India,4,"[{'order': 1, 'text': 'Wash all ingredients for Masala Dosa.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add mixed vegetables and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}]",['vegetarian'],Masala Dosa
323.0,32,2025-11-24T08:07:44.355707,South Indian,Palak Paneer prepared in a simple home-style method.,medium,palak_paneer_004,"[{'name': 'mixed vegetables', 'quantity': '1 cup'}, {'name': 'garlic', 'quantity': '½ cup'}, {'name': 'ginger', 'quantity': '2 tsp'}, {'name': 'onion', 'quantity': '1 tbsp'}, {'name': 'oil', 'quantity': '1 tsp'}, {'name': 'red chilli powder', 'quantity': '1 tbsp'}, {'name': 'tomato', 'quantity': '½ cup'}]",11,West India,4,"[{'order': 1, 'text': 'Wash all ingredients for Palak Paneer.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add mixed vegetables and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}]",['vegetarian'],Palak Paneer
290.0,39,2025-11-24T08:07:44.599095,South Indian,Paneer Bhurji prepared in a simple home-style method.,medium,paneer_bhurji_006,"[{'name': 'paneer', 'quantity': '100g'}, {'name': 'tomato', 'quantity': '1 tsp'}, {'name': 'garam masala', 'quantity': '½ cup'}, {'name': 'onion', 'quantity': '2 tsp'}, {'name': 'beans', 'quantity': '½ cup'}, {'name': 'garlic', 'quantity': '1 tbsp'}, {'name': 'oil', 'quantity': '2 tsp'}, {'name': 'red chilli powder', 'quantity': '2 tsp'}, {'name': 'ginger', 'quantity': '2 tsp'}]",21,South India,2,"[{'order': 1, 'text': 'Wash all ingredients for Paneer Bhurji.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add paneer and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}, {'order': 8, 'text': 'Serve hot with roti or rice.'}]",['vegetarian'],Paneer Bhurji
